epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
142,46871.5,0.86034,0.41033,0.89352,0.44401,0.29225,0.32817,0.19978,1.74503,1.73247,1.29919,0.0044164,0.0044164,0.0044164
143,47117.1,0.85925,0.4091,0.89209,0.44535,0.29253,0.32849,0.19993,1.74553,1.73347,1.29941,0.0043768,0.0043768,0.0043768
144,47362.3,0.85639,0.40802,0.89166,0.44573,0.29318,0.32869,0.20004,1.74551,1.73269,1.2992,0.0043372,0.0043372,0.0043372
145,47607.6,0.85744,0.40879,0.89204,0.44685,0.29339,0.32898,0.2004,1.74539,1.73564,1.29921,0.0042976,0.0042976,0.0042976
146,47852.6,0.85762,0.40866,0.89271,0.44736,0.2939,0.32915,0.20054,1.74536,1.73664,1.2993,0.004258,0.004258,0.004258
147,48097.7,0.85656,0.40848,0.89313,0.44842,0.2947,0.32972,0.201,1.74495,1.7372,1.29918,0.0042184,0.0042184,0.0042184
148,48343.2,0.8565,0.40801,0.89151,0.44949,0.29546,0.33014,0.2014,1.74508,1.73792,1.29907,0.0041788,0.0041788,0.0041788
149,48588,0.85592,0.40724,0.89249,0.45019,0.29531,0.33074,0.20187,1.74554,1.73813,1.29907,0.0041392,0.0041392,0.0041392
150,48833.1,0.85239,0.4064,0.89013,0.4516,0.29567,0.33179,0.20247,1.74617,1.73774,1.29935,0.0040996,0.0040996,0.0040996
151,49078.5,0.85372,0.40687,0.89064,0.45343,0.29642,0.33255,0.20293,1.74694,1.73795,1.29969,0.00406,0.00406,0.00406
152,49323.7,0.84889,0.40457,0.88951,0.45436,0.2967,0.33306,0.20314,1.74862,1.73824,1.30078,0.0040204,0.0040204,0.0040204
153,49568.7,0.84907,0.40463,0.89005,0.45523,0.2965,0.33354,0.2035,1.7498,1.73993,1.30141,0.0039808,0.0039808,0.0039808
154,49813.6,0.84955,0.40464,0.89056,0.45636,0.29622,0.33387,0.20367,1.7513,1.74121,1.30206,0.0039412,0.0039412,0.0039412
155,50058.7,0.84876,0.40439,0.89026,0.45655,0.29576,0.33431,0.20392,1.75195,1.74412,1.30211,0.0039016,0.0039016,0.0039016
156,50304.4,0.84824,0.40344,0.88904,0.45706,0.29623,0.3351,0.20458,1.75181,1.74527,1.30187,0.003862,0.003862,0.003862
157,50549.8,0.84583,0.40289,0.88878,0.45779,0.29582,0.33524,0.2048,1.75191,1.74525,1.30201,0.0038224,0.0038224,0.0038224
158,50794.9,0.84398,0.40203,0.88869,0.45769,0.29575,0.33581,0.20509,1.75249,1.74656,1.30229,0.0037828,0.0037828,0.0037828
159,51040.4,0.84417,0.40225,0.88926,0.45897,0.29633,0.33617,0.20506,1.75317,1.74747,1.30241,0.0037432,0.0037432,0.0037432
160,51285.9,0.84324,0.40155,0.88864,0.4597,0.29559,0.33667,0.20546,1.75329,1.75009,1.30251,0.0037036,0.0037036,0.0037036
161,51531.3,0.84151,0.40068,0.88779,0.46111,0.29597,0.33756,0.2059,1.75325,1.75028,1.30259,0.003664,0.003664,0.003664
162,51776.6,0.84207,0.40073,0.8876,0.4632,0.29642,0.33846,0.20637,1.75448,1.75163,1.30329,0.0036244,0.0036244,0.0036244
163,52021.6,0.83957,0.39968,0.88745,0.46357,0.29622,0.33877,0.20646,1.75534,1.75272,1.3036,0.0035848,0.0035848,0.0035848
164,52266.6,0.84134,0.4006,0.88755,0.46381,0.2963,0.33905,0.20654,1.75607,1.75517,1.30401,0.0035452,0.0035452,0.0035452
165,52512,0.83914,0.39943,0.88664,0.46504,0.29666,0.33972,0.20715,1.75696,1.75746,1.30431,0.0035056,0.0035056,0.0035056
166,52757.3,0.83948,0.39938,0.88713,0.46607,0.29659,0.33995,0.20735,1.7577,1.75871,1.30439,0.003466,0.003466,0.003466
167,53002.4,0.83748,0.39938,0.88634,0.46775,0.29723,0.34037,0.20762,1.75756,1.75893,1.30406,0.0034264,0.0034264,0.0034264
168,53247.3,0.83393,0.39713,0.88547,0.46835,0.29693,0.34081,0.20777,1.75937,1.76038,1.30486,0.0033868,0.0033868,0.0033868
169,53492.2,0.83303,0.39691,0.88513,0.46944,0.29649,0.34149,0.20812,1.76022,1.76269,1.30503,0.0033472,0.0033472,0.0033472
170,53737.3,0.83279,0.39634,0.88566,0.47092,0.2968,0.34207,0.20834,1.76066,1.76335,1.30519,0.0033076,0.0033076,0.0033076
171,53982.4,0.82981,0.3947,0.88606,0.47223,0.29655,0.34224,0.20833,1.76189,1.76566,1.30602,0.003268,0.003268,0.003268
172,54227.2,0.83119,0.39553,0.88555,0.47344,0.29636,0.34284,0.20866,1.7632,1.76932,1.30673,0.0032284,0.0032284,0.0032284
173,54472.7,0.83098,0.39536,0.8848,0.47471,0.29609,0.34295,0.20874,1.76459,1.77331,1.30741,0.0031888,0.0031888,0.0031888
174,54717.8,0.82746,0.39328,0.88532,0.47492,0.29609,0.34257,0.2084,1.76553,1.77409,1.30777,0.0031492,0.0031492,0.0031492
175,54963.1,0.82856,0.39433,0.88452,0.47506,0.296,0.34331,0.20882,1.76538,1.7735,1.30766,0.0031096,0.0031096,0.0031096
176,55208.1,0.82513,0.39286,0.88409,0.47589,0.29527,0.3437,0.20902,1.76591,1.77403,1.30809,0.00307,0.00307,0.00307
177,55453.2,0.82691,0.3935,0.88369,0.47692,0.29552,0.34376,0.20905,1.76565,1.77475,1.3079,0.0030304,0.0030304,0.0030304
178,55698.3,0.82572,0.39248,0.88386,0.47701,0.29532,0.34397,0.20905,1.7663,1.77626,1.30815,0.0029908,0.0029908,0.0029908
179,55943.6,0.82425,0.39212,0.88323,0.47674,0.29456,0.3442,0.20925,1.76616,1.77819,1.3082,0.0029512,0.0029512,0.0029512
